Company,Domain
Grocery Outlet,https://groceryoutlet.com/
Pamplin Media Group,http://portlandtribune.com/
Georgia-Pacific West,https://www.gp.com/
Management Group Inc,https://www.tmgnorthwest.com/
Avangrid Renewables,http://www.avangridrenewables.us/
Beaverton School District 48,http://beaverton.k12.or.us/
George Fox University,https://www.georgefox.edu/
Jesuit High School,https://www.jesuitportland.org/
First Student Inc,http://www.firststudentinc.com/
Extensis Inc,https://www.extensis.com/
Ncnm Community Clinics Prtlnd,https://nunmhealthcenters.com/community-clinics-2/
Nw Service Enterprises Inc,https://www.nwsassembly.com/
Marsee Foods,http://marseebaking.com/
Broadway Medical Clinic LLP,http://broadwaymedicalclinic.com/
Local Net,https://www.localnet.com/
KUPL,http://www.987thebull.com/
Jason Lee Middle School,http://jlee.vansd.org/
Cascadia Behavioral Health Cr,https://www.cascadiabhc.org/
Ncnm College,http://nunm.edu/
Providence Food Svc,"http://www.indeed.com/q-Food-Service-Worker-in-Providence,-RI-jobs.html"
Test America Laboratories Inc,http://www.testamericainc.com/
CEMEX,https://www.cemexusa.com/
Jive Software Inc,https://www.jivesoftware.com/
Things From Another World Inc,https://www.tfaw.com/
Information Services,https://infoserviceonto.wordpress.com/2010/06/23/what-is-an-information-service/
Andersen Construction Co,https://www.andersen-const.com/
Two Penguins Productns,http://www.twopenguins.com/
Claim Jumper Restaurant,http://www.claimjumper.com/
Adult Learning Systems Of Or,http://www.alsoweb.org/
Fuji Film Processing Inc,http://www.fujifilmusa.com/products/photofinishing/paper_lab_products/pro_labs/index.html
Cddr Drug & Alcohol Treatment,https://www.mapquest.com/us/washington/cddr-drug-alcohol-treatment-375940907
Mc Cormick & Schmick's Grill,https://www.mccormick.com/
CTX,http://www.ctx-xerox.com/
Portland Willamette,http://www.portlandwillamette.com/
Valvoline Corporate Office,https://www.valvoline.com/about-us/contact-us
Springs At Clackamas Woods,http://www.thespringsliving.com/senior-living/or/milwaukie/the-springs-at-clackamas-woods/
Hooper Detoxification,http://www.centralcityconcern.org/services/health-recovery/hooper-detoxification-center/
Red Lobster,https://www.redlobster.com/
USA Corps Of Engineers,http://www.usace.army.mil/
Cccc Headstart,https://www.cccchs.org/
Western Star,http://www.westernstartrucks.com/
OCH International Inc,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=319152992
Portland Regional Gem,https://portlandregionalgemandmineral.com/
Solid Rock,https://ajesuschurch.org/
St Mary's Academy,https://www.stmaryspdx.org/
Kimpton River Place Hotel,http://www.riverplacehotel.com/
Skamania Lodge,https://www.destinationhotels.com/skamania
Hazelden Springbrook,http://www.hazeldenbettyford.org/locations/newberg
Serena Software Inc,https://www.microfocus.com/serena/
Aire Service Hillsboro,https://aireservhillsboro.com/
Koin 6 TV,http://koin.com/
Doug Fir Restaurant,https://www.dougfirlounge.com/
US Land Management Bureau,https://www.blm.gov/
PECO Manufacturing Co Inc,http://www.pecomanufacturing.com/
KGON,http://www.kgon.com/
Ppm Technologies LLC,http://ppmtech.com/
Pacific Middle School,http://evergreenps.org/Schools/Middle-Schools/Pacific
Hurst's Berry Farm,https://hbfberries.com/
Ron Russell Middle School,https://rrms.ddouglas.k12.or.us/
Jake's Grill-Portland,http://www.mccormickandschmicks.com/Locations/portland-oregon/portland-oregon/SWTenthAve/menus.aspx
Standard Insurance Co,https://www.standard.com/
Providence Laboratory,http://oregon.providence.org/our-services/p/providence-laboratory-services/
George Fox Evangelical Seminar,https://www.georgefox.edu/seminary/index.html
J R Johnson Inc,http://www.jrjohnsoninc.com/
Swift Transportation,http://www.swifttrans.com/
Hillsboro Clean Water Svc,http://www.cleanwaterservices.org/contact-us/
Southeast Library,https://www.pcc.edu/library/about/spaces/campus-profiles/southeast/
Stanford's,https://stanfords.com/
Legacy Mt Hood Medical Ctr,http://www.legacyhealth.org/locations/hospitals/legacy-mount-hood-medical-center.aspx
Eagle Foundry Co,https://eaglefoundryco.com/
Washington County Health Svc,http://www.co.washington.or.us/HHS/
Compass Oncology Rose Quarter,https://compassoncology.com/locations-physicians/locations/rose-quarter/
Consonus Pharmacy Svc,http://www.consonushealth.com/pharmacy/
Kaiser Permanente Pharmacy,https://healthy.kaiserpermanente.org/health/care/poc/!ut/p/a1/dc1LC4JAFAXg3-LCZdxjllg7NYwZsffDZhOTlQ2JIzIE_vtKatGiuzucj3NJUEaikg9VSKN0Jct3Ft4x5ut5GDoBEPIBWBrMVkPOATjESRSlPnX00G_SKC1I1NLceqq6aspqnb-bmzH12IaNq8xVqUzbO6vmkhvdtDZIqDNlDtD3fNqT-P3pb90J2DaKI2_JXggfAJctOzBdeADzk02yGyXua-UL_lwAqu_i1LpQLLCsJ_Mue74!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/
Nines A Luxury Collect Hotel,https://www.thenines.com/
Team Northwest Inc,http://www.bloomberg.com/profiles/companies/0119091D:US-team-northwest-inc
Holland Inc,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30492238
Tapani Underground,http://tapani.com/
Cascade Auto Glass,http://www.cascadeautoglass.com/
Curtiss-Wright Controls,http://www.curtisswright.com/
Erickson Inc,https://ericksoninc.com/
Reserve Vineyards & Golf Club,https://www.reservegolf.com/
Yamhill-Carlton School Dist,http://www.ycsd.k12.or.us/
Mcminnville High School,http://mhs.msd.k12.or.us/
Cardno Inc,http://www.cardno.com/en-us/Locations/Pages/North-America.aspx
Laika Inc,http://www.laika.com/
Touchmark Waterford At Fairway,http://www.touchmarkvancouver.com/
Mc Cord's Vancouver Toyota,http://www.vancouvertoyota.com/
US Army Corps Of Engineers,http://www.usace.army.mil/
Multnomah County Library,https://multcolib.org/
Multnomah County,https://multco.us/
AECOM,http://www.aecom.com/
Fry's Electronics,https://frys.com/
Ci Azumano Travel American Exp,https://www.ciazumano.com/
Smart Center Portland,http://www.portland.mercedesdealer.com/smart/index.htm
Runco International Inc,http://www.runco.com/
N LIGHT Inc,http://www.nlight.net/
Re/Max Equity Group,http://www.equitygroup.com/
Providence Medical Group,http://oregon.providence.org/our-services/p/providence-medical-group/
Adventist Medical Ctr,https://www.adventisthealth.org/nw/pages/default.aspx
Northwest Software Inc,http://www.nwsi.com/
Mailbox Merchants,http://mailboxmerchants.com/
Quest Diagnostics,http://www.questdiagnostics.com/
Marion Construction,http://marionconst.com/
Vancouver Housing Authority,http://vhausa.org/
J L Storedahl & Sons,http://www.pitandquarry.com/tag/j-l-storedahl-sons-inc/
Calportland,http://www.calportland.com/
General Distributors,http://gdipdx.com/
SSI Shredding Systems Inc,https://www.ssiworld.com/
Trade Force Staffing,http://www.tradeforcestaffing.com/
Lattice Semiconductor Corp,http://www.latticesemi.com/
Providence Infusion Svc,http://washington.providence.org/in-home-services/infusion-and-pharmacy-services/
KGW-TV-Northwest News Chnnl,http://www.kgw.com/
Battle Ground High School,http://bghs.battlegroundps.org/
Digimarc Corp,https://www.digimarc.com/
Vigor Fab,http://vigor.net/about/companies/vigor-fab
Northwest Direct Marketing,https://www.yelp.com/biz/northwest-direct-marketing-beaverton
DPI Northwest,http://www.dpispecialtyfoods.com/
J W Marriott,http://www.marriott.com/jw-marriott/travel.mi
Alliant Systems LLC,http://alliant-systems.com/
Aramark Uniform Svc,https://www.aramarkuniform.com/
Neil Jones Food Co,http://www.neiljonesfoodcompany.com/
Omega Morgan,https://www.omegamorgan.com/
University Of Portland,https://www.up.edu/
Meggitt Polymers & Composites,https://www.meggitt.com/meggitt-polymers-composites/
Tuality Community Hospital,http://tuality.org/
Providence St Vincent Med Ctr,http://oregon.providence.org/location-directory/p/providence-st-vincent-medical-center/
Mr Formal Inc,http://mrformaltuxedos.com/
Brightstar Care,https://www.brightstarcare.com/
Shaver Transportation Co,https://shavertransportation.com/
Carr Chevrolet-Svc,http://www.carrchevrolet.com/service/index.htm
Tokyo Electron America,http://www.tel.com/about/locations/tea.htm
Cutsforth's Thriftway,http://www.cutsforths.com/
Oracle,https://www.oracle.com/index.html
Community Service Office,https://www.dshs.wa.gov/esa/community-services-offices/community-services-office
Tripwire Inc,https://www.tripwire.com/
Nesscampbell Crane & Rigging,http://www.nesscampbell.com/
Knipe Realty Nw,https://kniperealty.com/
Davis Amusement Cascadia Inc,http://www.davisamusement.com/
Sei,https://www.selfenhancement.org/
Genesis Health Care LLC,http://www.genesishcc.com/
Skyview High School,http://skyview.vansd.org/
Coors Tek Inc,https://www.coorstek.com/
Catholic Community Svc,http://ccsww.org/
Coca-Cola Refreshments,https://www.enjoycareers.com/home-page/
Portland Park Bureau,https://www.portlandoregon.gov/parks/
Multnomah County Sheriff's Ofc,https://www.mcso.us/
Legacy Meridian Park Med Ctr,http://www.legacyhealth.org/locations/hospitals/legacy-meridian-park-medical-center.aspx
Thirsty Lion Pub & Grill Two,http://www.thirstyliongastropub.com/tigard/
Advantage Solutions,http://www.advantagesolutions.net/
GE Healthcare,http://www.gehealthcare.com/
Pacific Speciality & Rehab,http://www.pacificspecialty.com/
Nikon Precision Inc,https://www.nikonprecision.com/
Maletis Beverage,http://www.maletis.com/
Clackamas Review,http://pamplinmedia.com/clackamas-review-news
Hillsboro School District 1j,https://www.hsd.k12.or.us/
Metro Watch,http://www.metro-watch.com/
CUI Global Inc,http://www.cuiglobal.com/
Fort Vancouver Regl Lbrry Syst,http://www.fvrl.org/
General Motors Co,https://www.gm.com/
Oregon First,http://www.oregonfirst.com/
Apria Healthcare,https://www.apria.com/
KATU,http://katu.com/
Shriners Hospitals For Childrn,https://www.shrinershospitalsforchildren.org/
Means Nursery Inc,http://meansnursery.com/
Glencoe High School,https://www.hsd.k12.or.us/glencoe
Distribution Trucking Co,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4558544
Alan WEBB Chevrolet Auto Deale,http://www.alanwebbchevrolet.com/
Liberty Centre,https://www.regus.com/office-space/united-states/oregon/portland/oregon-portland-liberty-centre
Protocol Inc,http://www.protocollink.com/
Goodwill Industries-Columbia,https://meetgoodwill.org/
Ultimate RB Inc,https://www.ultimaterb.com/
Oregon-Canadian Forest Prods,http://www.ocfp.com/
Portland International Airport,http://www.flypdx.com/
Rose Agri-Seed Inc,http://www.pureseed.com/
Comp View,http://www.compview.com/
Craft Brew Alliance Inc,http://craftbrew.com/
Widmer Brothers Brewing,https://widmerbrothers.com/
Allied Analytics LLP,https://www.alliedmarketresearch.com/
Performance Warehouse,http://www.performancewarehouse.com/
NORTHWEST Surgical Assoc,https://www.nwsurgicalspecialists.com/
Whole Foods Market,http://www.wholefoodsmarket.com/
Tualatin Valley Fire & Resc,http://www.tvfr.com/
Oregon National Guard,http://www.oregon.gov/omd
Clackamas County Behavioral,http://www.clackamas.us/behavioralhealth/
Zoom+care Lake Oswego,https://www.zoomcare.com/clinic/zoomcare-lake-oswego
Mackenzie,http://www.mcknze.com/
Jet Expedited Transport Inc,https://www.jetexpedited.com/
Portland City Grill,https://portlandcitygrill.com/
Clark County Public Works,https://www.clark.wa.gov/public-works
Cabela's,http://www.cabelas.com/
Portland Golf Club,http://portlandgolfclub.com/
TE Connectivity,http://www.te.com/usa-en/home.html
Clackamas Bread Plant,https://www.mapquest.com/us/oregon/safeway-clackamas-bread-plant-353155604
Car Max Auto Superstore,https://www.carmax.com/
Mountain View High School,https://www.bend.k12.or.us/mountainview
Pacific Lumber Co,https://en.wikipedia.org/wiki/Pacific_Lumber_Company
K & D Svc,http://boards.4chan.org/k/
Wieden Kennedy Inc,http://www.wk.com/
Trusted Trade Alliance LLC,https://www.trusted-trade.net/
Courtyard Restaurant,https://www.mcmenamins.com/kennedy-school/courtyard-restaurant
CLEARESULT,https://www.clearesult.com/
Portland Community College,https://www.pcc.edu/
Montrail Corp,https://www.mapquest.com/us/oregon/business-portland/montrail-corp-372217048
Inspec Group,http://www.inspecgroup.com/
Bonneville Hot Springs Resort,http://www.oregonlive.com/travel/index.ssf/2016/11/bonneville_hot_springs_is_clos.html
Sons Of Norway,https://www.sofn.com/
Houston's Inc,https://www.houstons-inc.com/
