Company,Domain
Stan Corp Investment Advisers,https://www.standard.com/investment-advisers
Reddaway,http://www.reddawayregional.com/
Portland International Airport,http://www.flypdx.com/
Craft Brew Alliance Inc,http://craftbrew.com/
Georgia-Pacific West,https://www.gp.com/
Warn Industries Inc,https://www.warn.com/
Multnomah Athletic Club,https://themac.com/
Portland General Electric Co,https://www.portlandgeneral.com/
Sorel Corp,https://www.sorel.com/
"Valvoline Corporate Office, 48",https://www.valvoline.com/about-us/contact-us
"Hampton Resources Inc, 7",http://www.hamptonlumber.com/
Gunderson LLC,https://www.indeed.com/cmp/Gunderson-LLC
"Albertina KERR Ctr, Christine Hays, 300",https://www.linkedin.com/in/christinehays
George Fox University,https://www.georgefox.edu/
Ambius Portland,https://www.ambius.com/ambius-portland/
Portland School District Admin,https://www.pps.net/
Holland Inc,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30492238
Northwest Pipe Co,http://www.nwpipe.com/
Sysco Portland Inc,http://www.syscoportland.com/
SEH America Inc,http://www.seha.com/
Integra Telecom Holdings Inc,https://www.integratelecom.com/
Albertsons Distribution Ctr,http://www.albertsons.com/employment_position/distribution-jobs-2/
Gresham City Hall,https://greshamoregon.gov/
Pacific Footwear,https://www.yelp.com/biz/pacific-footwear-company-portland
Erickson Inc,https://ericksoninc.com/
Leupold & Stevens Inc,https://www.leupold.com/
Oregon Industrial Lumber Prods,http://www.oregonindustriallumber.com/
Shari's Management Corp,https://www.sharis.com/
Tektronix Inc,https://www.tek.com/
Banfield Pet Hospital,https://www.banfield.com/
"Providence Health & Svc, Rita Cohen King, 1000",http://www.providence.org/
Lewis & Clark College,https://www.lclark.edu/
Legacy Emanuel Medical Ctr,http://www.legacyhealth.org/locations/hospitals/legacy-emanuel-medical-center.aspx
Oregon Health & Science Univ,http://www.oregon.gov/oha/HSD/OHP
Townsend Farms Inc,http://townsendfarms.com/
Fred Meyer Stores Inc,https://www.fredmeyer.com/
R B Pamplin Corp,http://pamplin.org/
Providence Hospice,http://oregon.providence.org/our-services/p/providence-hospice/
Powin Corp,http://powinenergy.com/
Wafer Tech LLC,http://www.wafertech.com/
David Evans & Assoc Inc,https://www.deainc.com/
